GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
200611290UTA,2007,Wed,11,29,2006,7:00 pm,San Antonio,75,Utah,83
200611300LAL,2007,Thu,11,30,2006,7:30 pm,Utah,102,L.A. Lakers,132
200611300MIA,2007,Thu,11,30,2006,8:00 pm,Detroit,87,Miami,85
200706020CLE,2007,Sat,06,2,2007,8:30 pm,Detroit,82,Cleveland,98
200706070SAS,2007,Thu,06,7,2007,8:00 pm,Cleveland,76,San Antonio,85
200706100SAS,2007,Sun,06,10,2007,8:00 pm,Cleveland,92,San Antonio,103
200706120CLE,2007,Tue,06,12,2007,9:00 pm,San Antonio,75,Cleveland,72
200706140CLE,2007,Thu,06,14,2007,9:00 pm,San Antonio,83,Cleveland,82
200705010DAL,2007,Tue,05,1,2007,8:30 pm,Golden State,112,Dallas,118
200705010TOR,2007,Tue,05,1,2007,7:00 pm,Brooklyn,96,Toronto,98
200705020PHO,2007,Wed,05,2,2007,7:30 pm,L.A. Lakers,110,Phoenix,119
200705020SAS,2007,Wed,05,2,2007,7:00 pm,Denver,78,San Antonio,93
200705030GSW,2007,Thu,05,3,2007,7:30 pm,Dallas,86,Golden State,111
200705030UTA,2007,Thu,05,3,2007,6:00 pm,Houston,82,Utah,94
200705040NJN,2007,Fri,05,4,2007,8:00 pm,Toronto,97,Brooklyn,98
200705050DET,2007,Sat,05,5,2007,7:00 pm,Chicago,69,Detroit,95
200705050HOU,2007,Sat,05,5,2007,8:30 pm,Utah,103,Houston,99
200705060CLE,2007,Sun,05,6,2007,1:00 pm,Brooklyn,77,Cleveland,81
200705060PHO,2007,Sun,05,6,2007,12:30 pm,San Antonio,111,Phoenix,106
200705070DET,2007,Mon,05,7,2007,8:00 pm,Chicago,87,Detroit,108
200705070UTA,2007,Mon,05,7,2007,8:30 pm,Golden State,112,Utah,116
200705080CLE,2007,Tue,05,8,2007,8:00 pm,Brooklyn,92,Cleveland,102
200705080PHO,2007,Tue,05,8,2007,7:30 pm,San Antonio,81,Phoenix,101
200705090UTA,2007,Wed,05,9,2007,7:00 pm,Golden State,117,Utah,127,OT
200705100CHI,2007,Thu,05,10,2007,8:00 pm,Detroit,81,Chicago,74
200705110GSW,2007,Fri,05,11,2007,6:00 pm,Utah,105,Golden State,125
200705120NJN,2007,Sat,05,12,2007,5:00 pm,Cleveland,85,Brooklyn,96
200705120SAS,2007,Sat,05,12,2007,7:00 pm,Phoenix,101,San Antonio,108
200705130CHI,2007,Sun,05,13,2007,2:30 pm,Detroit,87,Chicago,102
200705130GSW,2007,Sun,05,13,2007,6:00 pm,Utah,115,Golden State,101
200705140NJN,2007,Mon,05,14,2007,7:00 pm,Cleveland,87,Brooklyn,85
200705140SAS,2007,Mon,05,14,2007,8:30 pm,Phoenix,104,San Antonio,98
200705150DET,2007,Tue,05,15,2007,8:00 pm,Chicago,108,Detroit,92
200705150UTA,2007,Tue,05,15,2007,8:30 pm,Golden State,87,Utah,100
200705160CLE,2007,Wed,05,16,2007,8:00 pm,Brooklyn,83,Cleveland,72
200705160PHO,2007,Wed,05,16,2007,7:30 pm,San Antonio,88,Phoenix,85
200705170CHI,2007,Thu,05,17,2007,7:00 pm,Detroit,95,Chicago,85
200705180NJN,2007,Fri,05,18,2007,7:00 pm,Cleveland,88,Brooklyn,72
200705180SAS,2007,Fri,05,18,2007,9:30 pm,Phoenix,106,San Antonio,114
200705200SAS,2007,Sun,05,20,2007,2:30 pm,Utah,100,San Antonio,108
200705210DET,2007,Mon,05,21,2007,8:00 pm,Cleveland,76,Detroit,79
200705220SAS,2007,Tue,05,22,2007,8:00 pm,Utah,96,San Antonio,105
200705240DET,2007,Thu,05,24,2007,8:00 pm,Cleveland,76,Detroit,79
200705260UTA,2007,Sat,05,26,2007,6:30 pm,San Antonio,83,Utah,109
200705270CLE,2007,Sun,05,27,2007,8:30 pm,Detroit,82,Cleveland,88
200705280UTA,2007,Mon,05,28,2007,7:00 pm,San Antonio,91,Utah,79
200705290CLE,2007,Tue,05,29,2007,8:00 pm,Detroit,87,Cleveland,91
200705300SAS,2007,Wed,05,30,2007,8:00 pm,Utah,84,San Antonio,109
200705310DET,2007,Thu,05,31,2007,8:00 pm,Cleveland,109,Detroit,107,2OT
200701010CHA,2007,Mon,01,1,2007,7:00 pm,Minnesota,102,Charlotte,96
200701010POR,2007,Mon,01,1,2007,7:00 pm,Boston,89,Portland,81
200701020CHI,2007,Tue,01,2,2007,7:30 pm,Phoenix,97,Chicago,96
200701020CLE,2007,Tue,01,2,2007,7:00 pm,San Antonio,78,Cleveland,82
200701020DAL,2007,Tue,01,2,2007,7:30 pm,Seattle,88,Dallas,112
200701020DEN,2007,Tue,01,2,2007,7:00 pm,Philadelphia,108,Denver,97
200701020NOK,2007,Tue,01,2,2007,7:00 pm,Golden State,97,New Orleans,89
200701020ORL,2007,Tue,01,2,2007,7:00 pm,L.A. Clippers,86,Orlando,91
200701020SAC,2007,Tue,01,2,2007,7:00 pm,New York,100,Sacramento,112
200701030BOS,2007,Wed,01,3,2007,7:30 pm,Cleveland,107,Boston,104
200701030HOU,2007,Wed,01,3,2007,7:30 pm,Seattle,96,Houston,103
200701030MEM,2007,Wed,01,3,2007,7:00 pm,Golden State,135,Memphis,144
200701030MIA,2007,Wed,01,3,2007,7:30 pm,L.A. Clippers,110,Miami,95
200701030MIN,2007,Wed,01,3,2007,7:00 pm,San Antonio,101,Minnesota,103,OT
200701030POR,2007,Wed,01,3,2007,7:00 pm,New York,99,Portland,81
200701030TOR,2007,Wed,01,3,2007,7:00 pm,Phoenix,100,Toronto,98
200701030UTA,2007,Wed,01,3,2007,7:00 pm,Philadelphia,87,Utah,98
200701030WAS,2007,Wed,01,3,2007,7:00 pm,Milwaukee,105,Washington,108
200701040DAL,2007,Thu,01,4,2007,7:30 pm,Indiana,91,Dallas,100
200701040NOK,2007,Thu,01,4,2007,7:00 pm,Detroit,92,New Orleans,68
200701040SAC,2007,Thu,01,4,2007,7:30 pm,L.A. Lakers,132,Sacramento,128,OT
200701050HOU,2007,Fri,01,5,2007,7:30 pm,Utah,86,Houston,100
200701050LAL,2007,Fri,01,5,2007,7:30 pm,Denver,104,L.A. Lakers,123
200701050MEM,2007,Fri,01,5,2007,7:00 pm,Boston,128,Memphis,119
200701050MIL,2007,Fri,01,5,2007,7:30 pm,Cleveland,95,Milwaukee,86
200701050MIN,2007,Fri,01,5,2007,7:00 pm,Philadelphia,102,Minnesota,104,OT
200701050NJN,2007,Fri,01,5,2007,7:30 pm,Chicago,86,Brooklyn,91
200701050ORL,2007,Fri,01,5,2007,7:00 pm,Charlotte,74,Orlando,106
200701050PHO,2007,Fri,01,5,2007,8:30 pm,Miami,80,Phoenix,108
200701050SAS,2007,Fri,01,5,2007,7:00 pm,Dallas,90,San Antonio,85
200701050SEA,2007,Fri,01,5,2007,7:30 pm,New York,111,Seattle,93
200701050TOR,2007,Fri,01,5,2007,7:00 pm,Atlanta,92,Toronto,105
200701050WAS,2007,Fri,01,5,2007,7:00 pm,L.A. Clippers,105,Washington,116
200701060ATL,2007,Sat,01,6,2007,7:00 pm,L.A. Clippers,74,Atlanta,86
200701060CHI,2007,Sat,01,6,2007,7:30 pm,Detroit,89,Chicago,106
200701060CLE,2007,Sat,01,6,2007,7:30 pm,Brooklyn,91,Cleveland,96
200701060DEN,2007,Sat,01,6,2007,7:00 pm,Utah,96,Denver,84
200701060GSW,2007,Sat,01,6,2007,7:30 pm,Seattle,104,Golden State,108
200701060NOK,2007,Sat,01,6,2007,7:00 pm,Indiana,100,New Orleans,93
200701060SAC,2007,Sat,01,6,2007,7:00 pm,Portland,110,Sacramento,105,OT
200701070LAL,2007,Sun,01,7,2007,6:30 pm,Dallas,98,L.A. Lakers,101
200701070MEM,2007,Sun,01,7,2007,3:00 pm,San Antonio,110,Memphis,96
200701070MIN,2007,Sun,01,7,2007,2:30 pm,Houston,99,Minnesota,103,OT
200701070ORL,2007,Sun,01,7,2007,6:00 pm,Boston,79,Orlando,87
200701070PHO,2007,Sun,01,7,2007,6:00 pm,Golden State,105,Phoenix,128
200701070POR,2007,Sun,01,7,2007,6:00 pm,Miami,93,Portland,90
200701070TOR,2007,Sun,01,7,2007,1:00 pm,Washington,111,Toronto,116
200701080CHI,2007,Mon,01,8,2007,7:30 pm,Houston,84,Chicago,77
