GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201201180MIN,2012,Wed,01,18,2012,7:00 pm,Detroit,85,Minnesota,93,"15,598"
201201180NJN,2012,Wed,01,18,2012,7:30 pm,Golden State,100,Brooklyn,107,"12,570"
201201180NOH,2012,Wed,01,18,2012,7:00 pm,Memphis,93,New Orleans Hornets,87,"12,045"
201201180NYK,2012,Wed,01,18,2012,7:30 pm,Phoenix,91,New York,88,"19,763"
201201180ORL,2012,Wed,01,18,2012,7:00 pm,San Antonio,85,Orlando,83,OT,"18,846"
201201180PHI,2012,Wed,01,18,2012,7:00 pm,Denver,108,Philadelphia,104,OT,"15,201"
201201180SAC,2012,Wed,01,18,2012,7:00 pm,Indiana,88,Sacramento,92,"14,170"
201201180WAS,2012,Wed,01,18,2012,7:00 pm,Oklahoma City Thunder,102,Washington,105,"15,075"
201201190HOU,2012,Thu,01,19,2012,7:00 pm,New Orleans Hornets,88,Houston,90,OT,"10,845"
201201190MIA,2012,Thu,01,19,2012,8:00 pm,L.A. Lakers,87,Miami,98,"20,004"
201201190UTA,2012,Thu,01,19,2012,8:30 pm,Dallas,94,Utah,91,"19,911"
201201200BOS,2012,Fri,01,20,2012,7:30 pm,Phoenix,79,Boston,71,"18,624"
201201200CLE,2012,Fri,01,20,2012,7:30 pm,Chicago,114,Cleveland,75,"17,871"
201201200DET,2012,Fri,01,20,2012,7:30 pm,Memphis,98,Detroit,81,"10,255"
201201200GSW,2012,Fri,01,20,2012,7:30 pm,Indiana,94,Golden State,91,"17,621"
201201200LAC,2012,Fri,01,20,2012,7:30 pm,Minnesota,101,L.A. Clippers,98,"19,492"
201201200NYK,2012,Fri,01,20,2012,7:30 pm,Milwaukee,100,New York,86,"19,763"
201201200ORL,2012,Fri,01,20,2012,8:00 pm,L.A. Lakers,80,Orlando,92,"18,846"
201201200PHI,2012,Fri,01,20,2012,7:00 pm,Atlanta,76,Philadelphia,90,"17,724"
201201200SAS,2012,Fri,01,20,2012,7:30 pm,Sacramento,88,San Antonio,86,"18,581"
201201200TOR,2012,Fri,01,20,2012,7:00 pm,Portland,94,Toronto,84,"17,537"
201201200WAS,2012,Fri,01,20,2012,7:00 pm,Denver,108,Washington,104,"14,866"
201201210ATL,2012,Sat,01,21,2012,7:00 pm,Cleveland,94,Atlanta,121,"15,922"
201201210CHI,2012,Sat,01,21,2012,7:00 pm,Charlotte,89,Chicago,95,"21,861"
201201210DET,2012,Sat,01,21,2012,7:30 pm,Portland,91,Detroit,94,"14,456"
201201210HOU,2012,Sat,01,21,2012,7:00 pm,San Antonio,102,Houston,105,"15,285"
201201210MEM,2012,Sat,01,21,2012,7:00 pm,Sacramento,95,Memphis,128,"16,562"
201201210MIA,2012,Sat,01,21,2012,7:30 pm,Philadelphia,92,Miami,113,"19,725"
201201210NJN,2012,Sat,01,21,2012,8:00 pm,Oklahoma City Thunder,84,Brooklyn,74,"15,201"
201201210NOH,2012,Sat,01,21,2012,7:00 pm,Dallas,83,New Orleans Hornets,81,"15,471"
201201210NYK,2012,Sat,01,21,2012,7:30 pm,Denver,119,New York,114,2OT,"19,763"
201201210UTA,2012,Sat,01,21,2012,7:00 pm,Minnesota,98,Utah,108,"19,911"
